segment,point1,point2,segment_type
1,2,4,wing
2,4,6,wing
3,6,8,wing
4,8,10,wing
5,10,12,wing
6,12,14,wing
7,14,16,wing
8,16,18,wing
9,18,20,wing
10,2,3,wing
11,4,5,wing
12,6,7,wing
13,8,9,wing
14,10,11,wing
15,12,13,wing
16,14,15,wing
17,16,17,wing
18,18,19,wing
19,20,21,wing
20,3,5,wing
21,5,7,wing
22,7,9,wing
23,9,11,wing
24,11,13,wing
25,13,15,wing
26,15,17,wing
27,17,19,wing
28,19,21,wing
29,2,5,wing
30,3,4,wing
31,4,7,wing
32,5,6,wing
33,6,9,wing
34,7,8,wing
35,8,11,wing
36,9,10,wing
37,10,13,wing
38,11,12,wing
39,12,15,wing
40,13,14,wing
41,14,17,wing
42,15,16,wing
43,16,19,wing
44,17,18,wing
45,18,21,wing
46,19,20,wing
47,2,26,bridle
48,2,34,bridle
49,4,22,bridle
50,6,22,bridle
51,8,23,bridle
52,10,23,bridle
53,12,24,bridle
54,14,24,bridle
55,16,25,bridle
56,18,25,bridle
57,27,20,bridle
58,20,36,bridle
59,22,26,bridle
60,23,26,bridle
61,24,27,bridle
62,25,27,bridle
63,26,1,bridle
64,27,1,bridle
65,34,3,bridle
66,3,37,bridle
67,5,28,bridle
68,7,28,bridle
69,9,29,bridle
70,11,29,bridle
71,13,30,bridle
72,15,30,bridle
73,17,31,bridle
74,19,31,bridle
75,36,21,bridle
76,21,38,bridle
77,28,32,bridle
78,29,32,bridle
79,30,33,bridle
80,31,33,bridle
81,32,34,bridle
82,33,36,bridle
83,37,34,bridle
84,34,35,bridle
85,35,36,bridle
86,36,38,bridle
87,37,1,bridle
88,35,1,bridle
89,38,1,bridle
90,1,40,tether
91,40,41,tether
92,41,42,tether
93,42,43,tether
94,43,44,tether
95,44,39,tether
